,Bath,Bed,Half-bath,Price,Square_Feet,Zip_code
0,3,4,1,1023000,3964,93065
1,3,5,1,979000,2858,94954
2,2,4,0,777000,1287,94542
3,2,3,0,659500,1478,93003
4,2,3,0,615000,1452,90638
5,2,2,0,565000,1324,95018
6,2,3,0,545000,1590,93402
7,3,4,0,529900,1703,94931
8,1,3,0,525000,1026,90063
9,1,3,0,459000,1050,93033
10,3,5,0,425000,3124,93257
11,2,3,0,369000,1704,95223
12,2,4,0,358800,1892,92585
13,2,4,0,348000,2100,92345
14,2,3,0,297999,1752,93292
15,2,3,0,212500,994,92394
16,2,3,0,1448000,1350,92037
17,3,4,1,1429000,3308,92624
18,4,5,1,1388000,4016,91754
19,4,5,1,1325000,5014,94801
20,3,5,1,1325000,3573,94550
21,2,2,0,1299000,1840,92672
22,4,5,0,1285000,2697,92630
23,2,4,1,1279000,2022,91604
24,3,5,0,1275000,2361,92649
25,6,6,1,1250000,8201,93221
26,2,3,0,1250000,2186,91007
27,3,5,0,1249000,2896,91362
28,3,4,0,1238000,2419,92620
29,3,5,0,1229900,2772,92646
30,3,5,0,1199000,3340,92886
31,4,4,1,1099000,3789,92706
32,2,3,0,1098000,1324,94538
33,3,3,0,1049000,1887,92675
34,2,3,0,1049000,1682,91006
35,3,4,0,1023000,2652,92129
36,3,4,0,599000,2840,93291
37,2,3,0,599000,1093,92840
38,3,4,0,598000,2206,92882
39,2,3,0,595000,2248,93550
40,2,3,0,595000,2248,93550
41,2,4,0,590000,1487,91740
42,3,3,0,589999,1962,91354
43,2,4,0,585950,1787,93065
44,2,4,0,579900,1431,91913
45,2,4,0,579900,1253,90650
46,2,4,0,579900,1253,90650
47,2,3,0,579000,1620,91355
48,2,3,1,577000,1584,93433
49,2,4,0,574999,1784,91304
50,2,4,1,569999,2414,92028
51,2,4,1,569999,2414,92028
52,3,4,1,569950,2254,94513
53,3,5,0,567000,2864,94561
54,2,4,0,560000,2034,92882
55,3,4,1,559900,3428,93711
56,2,5,0,329900,1473,92557
57,1,3,0,325000,1484,92105
58,2,3,0,319900,2000,93722
59,2,3,0,315000,1942,93312
60,2,3,0,315000,1829,96025
61,2,3,0,315000,1035,92407
62,1,3,0,315000,1008,90061
63,2,3,0,309900,1520,92399
64,2,3,0,309000,2037,93277
65,2,3,1,299900,1771,92382
66,2,3,1,299900,1771,92382
67,2,4,0,295000,1576,92545
68,1,2,0,294500,896,92315
69,2,4,0,290000,1472,92404
70,2,3,0,289950,1777,92586
71,2,3,0,289900,1290,93551
72,2,4,0,279900,1970,93311
73,2,3,0,279000,1652,93312
74,2,3,0,275000,1214,95973
75,2,4,0,269999,1782,93312
76,2,3,0,239900,1660,92394
77,2,4,0,225900,1694,93247
78,6,4,0,11995000,5313,90210
79,3,3,2,9500000,4550,92660
80,3,5,1,3750000,2994,90265
81,3,4,1,2695000,2744,92660
82,4,4,0,2495000,2839,90265
83,5,4,0,2450000,7254,92067
84,3,3,0,2395000,2275,94028
85,4,4,2,2299000,5972,93023
86,2,2,0,2275000,1296,90265
87,2,3,0,2199000,3816,94923
88,5,5,1,1880000,5654,91709
89,4,5,0,1599000,3340,92861
90,3,3,0,1499000,1696,94945
91,1,1,0,1400000,700,95076
92,4,4,0,1375000,2507,95003
93,2,3,0,1299000,1822,94960
94,3,3,0,1249000,3000,95482
95,2,2,0,1189000,913,95062
96,3,4,1,1499000,2884,92116
97,2,4,1,1498888,2616,92626
98,2,4,1,1498888,2616,92626
99,4,5,1,1495000,4454,90275
100,5,5,1,1489000,4764,93021
101,2,4,1,1450000,2406,90039
102,5,5,1,1395000,3880,94605
103,3,4,1,1325000,2100,92627
104,2,3,0,1325000,2042,92672
105,2,3,0,1325000,2042,92672
106,2,3,0,1300000,1695,91206
107,4,4,0,1299900,3988,92315
108,3,4,1,1299900,2183,92108
109,3,5,1,1299000,2014,92117
110,3,4,1,1295000,3387,91367
